Entry	Entry Name	Protein names	Gene Names	Organism	Length
P0C037	PPNP_ECOLI	Pyrimidine/purine nucleoside phosphorylase (EC 2.4.2.1) (EC 2.4.2.2) (Adenosine phosphorylase) (Cytidine phosphorylase) (Guanosine phosphorylase) (Inosine phosphorylase) (Thymidine phosphorylase) (Uridine phosphorylase) (Xanthosine phosphorylase)	ppnP yaiE b0391 JW0382	Escherichia coli (strain K12)	94
P0C054	IBPA_ECOLI	Small heat shock protein IbpA (16 kDa heat shock protein A)	ibpA hslT htpN b3687 JW3664	Escherichia coli (strain K12)	137
P0C058	IBPB_ECOLI	Small heat shock protein IbpB (16 kDa heat shock protein B)	ibpB hslS htpE b3686 JW3663	Escherichia coli (strain K12)	142
P0C077	RELE_ECOLI	mRNA interferase toxin RelE (EC 3.1.-.-) (Endoribonuclease RelE) (Toxin RelE)	relE b1563 JW1555	Escherichia coli (strain K12)	95
P0C079	RELB_ECOLI	Antitoxin RelB	relB b1564 JW1556	Escherichia coli (strain K12)	79
P0C093	SLMA_ECOLI	Nucleoid occlusion factor SlmA (Protein Ttk) (Synthetically lethal with a defective Min system protein A)	slmA ttk yicB b3641 JW5641	Escherichia coli (strain K12)	198
P0C0K3	SRKA_ECOLI	Stress response kinase A (EC 2.7.11.1) (Serine/threonine protein kinase YihE) (Serine/threonine-protein kinase SrkA)	srkA rdoA yihE b3859 JW3831	Escherichia coli (strain K12)	328
P0C0L2	OSMC_ECOLI	Peroxiredoxin OsmC (EC 1.11.1.-) (Osmotically-inducible protein C)	osmC b1482 JW1477	Escherichia coli (strain K12)	143
P0C0L7	PROP_ECOLI	Proline/betaine transporter (Proline porter II) (PPII)	proP b4111 JW4072	Escherichia coli (strain K12)	500
P0C0R7	RLME_ECOLI	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (Cell division protein FtsJ) (rRNA (uridine-2'-O-)-methyltransferase)	rlmE ftsJ mrsF rrmJ b3179 JW3146	Escherichia coli (strain K12)	209
P0C0S1	MSCS_ECOLI	Small-conductance mechanosensitive channel	mscS yggB b2924 JW2891	Escherichia coli (strain K12)	286
P0C0T5	MEPA_ECOLI	Penicillin-insensitive murein endopeptidase (EC 3.4.24.-) (D-alanyl-D-alanine-endopeptidase) (DD-endopeptidase)	mepA b2328 JW2325	Escherichia coli (strain K12)	274
P0C0V0	DEGP_ECOLI	Periplasmic serine endoprotease DegP (EC 3.4.21.107) (Heat shock protein DegP) (Protease Do)	degP htrA ptd b0161 JW0157	Escherichia coli (strain K12)	474
P0C7L2	PAAJ_ECOLI	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase (EC 2.3.1.174) (EC 2.3.1.223)	paaJ paaE ydbW b1397 JW1392	Escherichia coli (strain K12)	401
P0CE47	EFTU1_ECOLI	Elongation factor Tu 1 (EF-Tu 1) (Bacteriophage Q beta RNA-directed RNA polymerase subunit III) (P-43)	tufA b3339 JW3301	Escherichia coli (strain K12)	394
P0CE48	EFTU2_ECOLI	Elongation factor Tu 2 (EF-Tu 2) (Bacteriophage Q beta RNA-directed RNA polymerase subunit III) (P-43)	tufB b3980 JW3943	Escherichia coli (strain K12)	394
P0CG19	RNPH_ECOLI	Truncated inactive ribonuclease PH (Truncated inactive RNase PH) (Inactive RNase PH) (Truncated RNase PH)	rph orfE b3643 JW3618	Escherichia coli (strain K12)	228
P0DM85	CRFC_ECOLI	Clamp-binding protein CrfC (Clamp-binding sister replication fork colocalization protein)	crfC yjdA b4109 JW4070	Escherichia coli (strain K12)	742
P0DMC5	RCSC_ECOLI	Sensor histidine kinase RcsC (EC 2.7.13.3) (Capsular synthesis regulator component C)	rcsC b2218 JW5917/JW5920	Escherichia coli (strain K12)	949
P0DMC7	RCSB_ECOLI	Transcriptional regulatory protein RcsB (Capsular synthesis regulator component B)	rcsB b2217 JW2205	Escherichia coli (strain K12)	216
P0DP90	ILVG_ECOLI	Acetolactate synthase isozyme 2 large subunit (AHAS-II) (EC 2.2.1.6) (ALS-II) (Acetohydroxy-acid synthase II large subunit)	ilvG	Escherichia coli (strain K12)	548
P0DTT0	BIPA_ECOLI	Large ribosomal subunit assembly factor BipA (EC 3.6.5.-) (50S ribosomal subunit assembly factor BipA) (GTP-binding protein BipA/TypA) (Ribosome assembly factor BipA) (Ribosome-dependent GTPase BipA) (Tyrosine phosphorylated protein A)	bipA o591 typA yihK b3871 JW5571	Escherichia coli (strain K12)	607
P0DTV7	SPEFL_ECOLI	Leader peptide SpeFL (Arrest peptide SpeFL)	speFL b4803	Escherichia coli (strain K12)	34
P10026	TRAM1_ECOLI	Relaxosome protein TraM	traM ECOK12F071	Escherichia coli (strain K12)	127
P10121	FTSY_ECOLI	Signal recognition particle receptor FtsY (SRP receptor) (EC 3.6.5.4)	ftsY b3464 JW3429	Escherichia coli (strain K12)	497
P10378	ENTE_ECOLI	Enterobactin synthase component E (EC 6.3.2.14) (2,3-dihydroxybenzoate-AMP ligase) (DHB-AMP ligase) (2,3-dihydroxybenzoate-AMP synthase) (EC 6.2.1.71) (Dihydroxybenzoic acid-activating enzyme) (Enterochelin synthase E)	entE b0594 JW0586	Escherichia coli (strain K12)	536
P10408	SECA_ECOLI	Protein translocase subunit SecA (EC 7.4.2.8)	secA azi pea prlD b0098 JW0096	Escherichia coli (strain K12)	901
P10443	DPO3A_ECOLI	DNA polymerase III subunit alpha (EC 2.7.7.7)	dnaE polC b0184 JW0179	Escherichia coli (strain K12)	1160
P10902	NADB_ECOLI	L-aspartate oxidase (LASPO) (EC 1.4.3.16) (L-aspartate:fumarate oxidoreductase) (EC 1.5.99.-) (Quinolinate synthetase B)	nadB nicB b2574 JW2558	Escherichia coli (strain K12)	540
P10903	NARK_ECOLI	Nitrate/nitrite antiporter NarK (Nitrate/nitrite exchanger) (Nitrite extrusion protein 1) (Nitrite facilitator 1)	narK b1223 JW1214	Escherichia coli (strain K12)	463
P10905	UGPA_ECOLI	sn-glycerol-3-phosphate transport system permease protein UgpA	ugpA b3452 JW3417	Escherichia coli (strain K12)	295
P10906	UGPE_ECOLI	sn-glycerol-3-phosphate transport system permease protein UgpE	ugpE b3451 JW3416	Escherichia coli (strain K12)	281
P10907	UGPC_ECOLI	sn-glycerol-3-phosphate import ATP-binding protein UgpC (EC 7.6.2.10)	ugpC b3450 JW3415	Escherichia coli (strain K12)	356
P10908	UGPQ_ECOLI	Glycerophosphodiester phosphodiesterase, cytoplasmic (Glycerophosphoryl diester phosphodiesterase, cytoplasmic) (EC 3.1.4.46)	ugpQ b3449 JW3414	Escherichia coli (strain K12)	247
P11071	ACEK_ECOLI	Isocitrate dehydrogenase kinase/phosphatase (IDH kinase/phosphatase) (IDHK/P) (EC 2.7.11.5) (EC 3.1.3.-)	aceK b4016 JW3976	Escherichia coli (strain K12)	578
P11349	NARH_ECOLI	Respiratory nitrate reductase 1 beta chain (EC 1.7.5.1) (Nitrate reductase A subunit beta) (Quinol-nitrate oxidoreductase subunit beta)	narH b1225 JW1216	Escherichia coli (strain K12)	512
P11350	NARI_ECOLI	Respiratory nitrate reductase 1 gamma chain (EC 1.7.5.1) (Cytochrome B-NR) (Nitrate reductase A subunit gamma) (Quinol-nitrate oxidoreductase subunit gamma)	narI chlI b1227 JW1218	Escherichia coli (strain K12)	225
P11454	ENTF_ECOLI	Enterobactin synthase component F (EC 6.3.2.14) (Enterochelin synthase F) (Nonribosomal peptide synthetase EntF) [Includes: L-serine--[L-seryl-carrier protein] ligase (EC 6.2.1.72) (Serine-activating enzyme) (Seryl-AMP ligase)]	entF b0586 JW0578	Escherichia coli (strain K12)	1293
P11458	NADA_ECOLI	Quinolinate synthase (EC 2.5.1.72) (Quinolinate synthetase A)	nadA nicA b0750 JW0733	Escherichia coli (strain K12)	347
P11551	FUCP_ECOLI	L-fucose-proton symporter (6-deoxy-L-galactose permease) (L-fucose permease) (L-fucose-H(+) symport protein)	fucP b2801 JW2772	Escherichia coli (strain K12)	438
P11557	DAMX_ECOLI	Cell division protein DamX	damX yhfB b3388 JW3351	Escherichia coli (strain K12)	428
P11667	ARGO_ECOLI	Arginine exporter protein ArgO	argO yggA b2923 JW2890	Escherichia coli (strain K12)	211
P11868	TDCD_ECOLI	Propionate kinase (EC 2.7.2.15)	tdcD yhaA b3115 JW5806	Escherichia coli (strain K12)	402
P11880	MURF_ECOLI	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase)	murF mra b0086 JW0084	Escherichia coli (strain K12)	452
P12008	AROC_ECOLI	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase) (EPSP phospholyase)	aroC b2329 JW2326	Escherichia coli (strain K12)	361
P12281	MOEA_ECOLI	Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1)	moeA bisB chlE narE b0827 JW0811	Escherichia coli (strain K12)	411
P12282	MOEB_ECOLI	Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (MoaD protein adenylase) (Molybdopterin-converting factor subunit 1 adenylase) (Sulfur carrier protein MoaD adenylyltransferase)	moeB chlN b0826 JW0810	Escherichia coli (strain K12)	249
P12295	UNG_ECOLI	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	ung b2580 JW2564	Escherichia coli (strain K12)	229
P12758	UDP_ECOLI	Uridine phosphorylase (UPase) (UrdPase) (EC 2.4.2.3)	udp b3831 JW3808	Escherichia coli (strain K12)	253
P12995	BIOA_ECOLI	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)	bioA b0774 JW0757	Escherichia coli (strain K12)	429
P12996	BIOB_ECOLI	Biotin synthase (EC 2.8.1.6) (Biotin synthetase)	bioB b0775 JW0758	Escherichia coli (strain K12)	346
P12998	BIOF_ECOLI	8-amino-7-oxononanoate synthase (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase)	bioF b0776 JW0759	Escherichia coli (strain K12)	384
P13000	BIOD1_ECOLI	ATP-dependent dethiobiotin synthetase BioD 1 (EC 6.3.3.3) (DTB synthetase 1) (DTBS 1) (Dethiobiotin synthase 1)	bioD1 b0778 JW0761	Escherichia coli (strain K12)	225
P13001	BIOH_ECOLI	Pimeloyl-[acyl-carrier protein] methyl ester esterase (EC 3.1.1.85) (Biotin synthesis protein BioH) (Carboxylesterase BioH)	bioH bioB b3412 JW3375	Escherichia coli (strain K12)	256
P13009	METH_ECOLI	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Methionine synthase, vitamin-B12-dependent) (MS)	metH b4019 JW3979	Escherichia coli (strain K12)	1227
P13029	KATG_ECOLI	Catalase-peroxidase (CP) (EC 1.11.1.21) (Hydroperoxidase I) (HPI) (Peroxidase/catalase)	katG b3942 JW3914	Escherichia coli (strain K12)	726
P13035	GLPD_ECOLI	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	glpD glyD b3426 JW3389	Escherichia coli (strain K12)	501
P13036	FECA_ECOLI	Fe(3+) dicitrate transport protein FecA (Iron(III) dicitrate transport protein FecA)	fecA b4291 JW4251	Escherichia coli (strain K12)	774
P13039	FES_ECOLI	Iron(III) enterobactin esterase (EC 3.1.1.108) (Enterochelin esterase) (Ferric enterobactin esterase)	fes b0585 JW0576	Escherichia coli (strain K12)	400
P13445	RPOS_ECOLI	RNA polymerase sigma factor RpoS (Sigma S) (Sigma-38)	rpoS appR katF nur otsX sigS b2741 JW5437	Escherichia coli (strain K12)	330
P13458	SBCC_ECOLI	Nuclease SbcCD subunit C	sbcC rmuA b0397 JW0387	Escherichia coli (strain K12)	1048
P13482	TREA_ECOLI	Periplasmic trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase) (Tre37A)	treA osmA b1197 JW1186	Escherichia coli (strain K12)	565
P13518	CSRD_ECOLI	RNase E specificity factor CsrD (Regulator of CsrB and CsrC decay CsrD)	csrD yhdA b3252 JW3221	Escherichia coli (strain K12)	646
P13656	CHIA_ECOLI	Probable bifunctional chitinase/lysozyme [Includes: Chitinase (EC 3.2.1.14); Lysozyme (EC 3.2.1.17)]	chiA yheB b3338 JW3300	Escherichia coli (strain K12)	897
P13738	NHAA_ECOLI	Na(+)/H(+) antiporter NhaA (Na(+)/H(+) exchanger) (Na(+)/Li(+)/H(+) antiporter) (Sodium/proton antiporter NhaA)	nhaA ant b0019 JW0018	Escherichia coli (strain K12)	388
P14081	SELB_ECOLI	Selenocysteine-specific elongation factor (SelB translation factor)	selB fdhA b3590 JW3563	Escherichia coli (strain K12)	614
P14175	PROV_ECOLI	Glycine betaine/proline betaine transport system ATP-binding protein ProV	proV b2677 JW2652	Escherichia coli (strain K12)	400
P14176	PROW_ECOLI	Glycine betaine/proline betaine transport system permease protein ProW	proW b2678 JW2653	Escherichia coli (strain K12)	354
P14294	TOP3_ECOLI	DNA topoisomerase 3 (EC 5.6.2.1) (DNA topoisomerase III)	topB b1763 JW1752	Escherichia coli (strain K12)	653
P14375	ZRAR_ECOLI	Transcriptional regulatory protein ZraR	zraR hydG b4004 JW3968	Escherichia coli (strain K12)	441
P14377	ZRAS_ECOLI	Sensor histidine kinase ZraS (EC 2.7.13.3)	zraS hydH b4003 JW3967	Escherichia coli (strain K12)	465
P14407	FUMB_ECOLI	Fumarate hydratase class I, anaerobic (EC 4.2.1.2) (D-tartrate dehydratase) (EC 4.2.1.81) (Fumarase B)	fumB b4122 JW4083	Escherichia coli (strain K12)	548
P14565	TRAI1_ECOLI	Multifunctional conjugation protein TraI [Includes: DNA relaxase TraI (EC 5.6.2.1) (DNA nickase TraI) (Transesterase TraI); DNA helicase I (EC 3.6.4.12)]	traI ECOK12F104	Escherichia coli (strain K12)	1756
P14900	MURD_ECOLI	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD b0088 JW0086	Escherichia coli (strain K12)	438
P15005	MCRB_ECOLI	Type IV methyl-directed restriction enzyme EcoKMcrB subunit (EcoKMcrBC) (5-methylcytosine-specific restriction enzyme B) (EC 3.1.21.-)	mcrB rglB b4346 JW5871	Escherichia coli (strain K12)	459
P15028	FECB_ECOLI	Fe(3+) dicitrate-binding periplasmic protein FecB (Iron(III) dicitrate-binding periplasmic protein)	fecB b4290 JW4250	Escherichia coli (strain K12)	300
P15029	FECD_ECOLI	Fe(3+) dicitrate transport system permease protein FecD (Iron(III) dicitrate transport system permease protein FecD)	fecD b4288 JW4248	Escherichia coli (strain K12)	318
P15030	FECC_ECOLI	Fe(3+) dicitrate transport system permease protein FecC (Iron(III) dicitrate transport system permease protein FecC)	fecC b4289 JW4249	Escherichia coli (strain K12)	332
P15034	AMPP_ECOLI	Xaa-Pro aminopeptidase (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Aminopeptidase P II) (APP-II) (X-Pro aminopeptidase)	pepP b2908 JW2876	Escherichia coli (strain K12)	441
P15042	DNLJ_ECOLI	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA dnaL lig lop pdeC b2411 JW2403	Escherichia coli (strain K12)	671
P15043	RECQ_ECOLI	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	recQ b3822 JW5855	Escherichia coli (strain K12)	609
P15047	ENTA_ECOLI	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (DiDHB-DH) (EC 1.3.1.28) (Trans-2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase)	entA b0596 JW0588	Escherichia coli (strain K12)	248
P15067	GLGX_ECOLI	Glycogen debranching enzyme (EC 3.2.1.196) (Glycogen operon protein GlgX) (Limit dextrin alpha-1,6-maltotetraose-hydrolase)	glgX glyX b3431 JW3394	Escherichia coli (strain K12)	657
P15254	PUR4_ECOLI	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT)	purL purI b2557 JW2541	Escherichia coli (strain K12)	1295
P15288	PEPD_ECOLI	Cytosol non-specific dipeptidase (EC 3.4.13.18) (Aminoacyl-histidine dipeptidase) (Beta-alanyl-histidine dipeptidase) (Carnosinase) (Cysteinylglycinase) (Peptidase D) (Xaa-His dipeptidase) (X-His dipeptidase)	pepD pepH b0237 JW0227	Escherichia coli (strain K12)	485
P15373	PRLF_ECOLI	Antitoxin PrlF (HtrA suppressor protein SohA)	prlF sohA b3129 JW3098	Escherichia coli (strain K12)	111
P15640	PUR2_ECOLI	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)	purD b4005 JW3969	Escherichia coli (strain K12)	429
P15723	DGTP_ECOLI	Deoxyguanosinetriphosphate triphosphohydrolase (dGTP triphosphohydrolase) (dGTPase) (EC 3.1.5.1)	dgt b0160 JW0156	Escherichia coli (strain K12)	505
P15770	AROE_ECOLI	Shikimate dehydrogenase (NADP(+)) (SD) (SDH) (EC 1.1.1.25)	aroE b3281 JW3242	Escherichia coli (strain K12)	272
P15877	DHG_ECOLI	Quinoprotein glucose dehydrogenase (EC 1.1.5.2) (Glucose dehydrogenase [pyrroloquinoline-quinone])	gcd b0124 JW0120	Escherichia coli (strain K12)	796
P15993	AROP_ECOLI	Aromatic amino acid transport protein AroP (Aromatic amino acid:H(+) symporter AroP) (General aromatic amino acid permease) (General aromatic transport system)	aroP b0112 JW0108	Escherichia coli (strain K12)	457
P16384	MIAA_ECOLI	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)	miaA trpX b4171 JW4129	Escherichia coli (strain K12)	316
P16456	SELD_ECOLI	Selenide, water dikinase (EC 2.7.9.3) (Selenium donor protein) (Selenophosphate synthase)	selD fdhB b1764 JW1753	Escherichia coli (strain K12)	347
P16528	ICLR_ECOLI	Transcriptional repressor IclR (Acetate operon repressor)	iclR b4018 JW3978	Escherichia coli (strain K12)	274
P16659	SYP_ECOLI	Proline--tRNA ligase (EC 6.1.1.15) (Global RNA synthesis factor) (Prolyl-tRNA synthetase) (ProRS)	proS drpA b0194 JW0190	Escherichia coli (strain K12)	572
P16686	PHNH_ECOLI	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH (RPnTP synthase subunit PhnH) (EC 2.7.8.37)	phnH b4100 JW4061	Escherichia coli (strain K12)	194
P16687	PHNI_ECOLI	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI (RPnTP synthase subunit PhnI) (EC 2.7.8.37) (Ribose 1-methylphosphonate 5-triphosphate synthase nucleosidase subunit)	phnI b4099 JW4060	Escherichia coli (strain K12)	354
P16688	PHNJ_ECOLI	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase (PRPn C-P lyase) (EC 4.7.1.1)	phnJ b4098 JW4059	Escherichia coli (strain K12)	281
P16692	PHNP_ECOLI	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase (EC 3.1.4.55) (Phosphoribosyl cyclic phosphodiesterase)	phnP b4092 JW4053	Escherichia coli (strain K12)	252
P16703	CYSM_ECOLI	Cysteine synthase B (CSase B) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase B) (OAS-TL B) (O-acetylserine sulfhydrylase B)	cysM b2421 JW2414	Escherichia coli (strain K12)	303
P16869	FHUE_ECOLI	Hydroxamate siderophore receptor FhuE (Ferric iron uptake protein) (Ferric-coprogen receptor FhuE) (Outer-membrane receptor for Fe(III)-coprogen, Fe(III)-ferrioxamine B and Fe(III)-rhodotrulic acid) (TonB-dependent transporter receptor FhuE) (TBDT receptor FhuE)	fhuE b1102 JW1088	Escherichia coli (strain K12)	729
P16926	MREC_ECOLI	Cell shape-determining protein MreC (Cell shape protein MreC) (Rod shape-determining protein MreC)	mreC b3250 JW3219	Escherichia coli (strain K12)	367
P17109	MEND_ECOLI	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9) (Menaquinone biosynthesis protein MenD)	menD b2264 JW5374	Escherichia coli (strain K12)	556
P17115	GUTQ_ECOLI	Arabinose 5-phosphate isomerase GutQ (API) (G-API) (EC 5.3.1.13) (Phosphosugar aldol-ketol isomerase)	gutQ srlQ b2708 JW5431	Escherichia coli (strain K12)	321
P17117	NFSA_ECOLI	Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-) (Modulator of drug activity A)	nfsA mda18 mdaA ybjB b0851 JW0835	Escherichia coli (strain K12)	240
P17169	GLMS_ECOLI	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS b3729 JW3707	Escherichia coli (strain K12)	609
P17411	CHBF_ECOLI	6-phospho-beta-glucosidase (EC 3.2.1.86) (Cellobiose-6-phosphate hydrolase) (Phospho-chitobiase)	chbF celF ydjD b1734 JW1723	Escherichia coli (strain K12)	450
P17443	MURG_ECOLI	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG b0090 JW0088	Escherichia coli (strain K12)	355
P17444	BETA_ECOLI	Oxygen-dependent choline dehydrogenase (CDH) (CHD) (EC 1.1.99.1) (Betaine aldehyde dehydrogenase) (BADH) (EC 1.2.1.8)	betA b0311 JW0303	Escherichia coli (strain K12)	556
P17445	BETB_ECOLI	Betaine aldehyde dehydrogenase (BADH) (EC 1.2.1.8)	betB b0312 JW0304	Escherichia coli (strain K12)	490
P17846	CYSI_ECOLI	Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2)	cysI b2763 JW2733	Escherichia coli (strain K12)	570
P17854	CYSH_ECOLI	Phosphoadenosine 5'-phosphosulfate reductase (PAPS reductase) (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAPS sulfotransferase) (PAdoPS reductase)	cysH b2762 JW2732	Escherichia coli (strain K12)	244
P17888	PRIA_ECOLI	Primosomal protein N' (EC 3.6.4.-) (ATP-dependent helicase PriA) (Replication factor Y)	priA b3935 JW3906	Escherichia coli (strain K12)	732
P17952	MURC_ECOLI	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC b0091 JW0089	Escherichia coli (strain K12)	491
P17993	UBIG_ECOLI	Ubiquinone biosynthesis O-methyltransferase (2-octaprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone-8 3-O-methyltransferase) (EC 2.1.1.64)	ubiG pufX yfaB b2232 JW2226	Escherichia coli (strain K12)	240
P18196	MINC_ECOLI	Septum site-determining protein MinC	minC b1176 JW1165	Escherichia coli (strain K12)	231
P18200	PGPA_ECOLI	Phosphatidylglycerophosphatase A (EC 3.1.3.27) (Phosphatidylglycerolphosphate phosphatase A) (PGP phosphatase A)	pgpA yajN b0418 JW0408	Escherichia coli (strain K12)	172
P18335	ARGD_ECOLI	Acetylornithine/succinyldiaminopimelate aminotransferase (ACOAT) (DapATase) (Succinyldiaminopimelate transferase) (EC 2.6.1.11) (EC 2.6.1.17)	argD dapC dtu b3359 JW3322	Escherichia coli (strain K12)	406
P18775	DMSA_ECOLI	Dimethyl sulfoxide reductase DmsA (DMSO reductase) (DMSOR) (Me2SO reductase) (EC 1.8.5.3)	dmsA b0894 JW5118	Escherichia coli (strain K12)	814
P18776	DMSB_ECOLI	Anaerobic dimethyl sulfoxide reductase chain B (DMSO reductase iron-sulfur subunit)	dmsB b0895 JW0878	Escherichia coli (strain K12)	205
P18843	NADE_ECOLI	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5) (Nicotinamide adenine dinucleotide synthetase) (NADS) (Nitrogen regulatory protein)	nadE efg ntrL b1740 JW1729	Escherichia coli (strain K12)	275
P18956	GGT_ECOLI	Glutathione hydrolase proenzyme (EC 3.4.19.13) (Gamma-glutamyltranspeptidase proenzyme) (GGT) (EC 2.3.2.2) [Cleaved into: Glutathione hydrolase large chain; Glutathione hydrolase small chain]	ggt b3447 JW3412	Escherichia coli (strain K12)	580
P19318	NARY_ECOLI	Respiratory nitrate reductase 2 beta chain (EC 1.7.5.1)	narY b1467 JW1462	Escherichia coli (strain K12)	514
P19319	NARZ_ECOLI	Respiratory nitrate reductase 2 alpha chain (EC 1.7.5.1)	narZ b1468 JW1463	Escherichia coli (strain K12)	1246
P19624	PDXA_ECOLI	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	pdxA b0052 JW0051	Escherichia coli (strain K12)	329
P19636	EUTC_ECOLI	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7) (Ethanolamine ammonia-lyase beta subunit) (Ethanolamine ammonia-lyase light chain) (Ethanolamine deaminase small subunit)	eutC b2440 JW2433	Escherichia coli (strain K12)	295
P19642	PTOCB_ECOLI	PTS system maltose-specific EIICB component [Includes: Maltose permease IIC component (PTS system maltose-specific EIIC component); Maltose-specific phosphotransferase enzyme IIB component (EC 2.7.1.208) (PTS system maltose-specific EIIB component)]	malX b1621 JW1613	Escherichia coli (strain K12)	530
P19925	ENTD_ECOLI	Enterobactin synthase component D (4'-phosphopantetheinyl transferase EntD) (EC 2.7.8.-) (Enterochelin synthase D)	entD b0583 JW5085	Escherichia coli (strain K12)	206
P19926	AGP_ECOLI	Glucose-1-phosphatase (G1Pase) (EC 3.1.3.10)	agp b1002 JW0987	Escherichia coli (strain K12)	413
P19934	TOLA_ECOLI	Tol-Pal system protein TolA	tolA cim excC lky b0739 JW0729	Escherichia coli (strain K12)	421
P20083	PARE_ECOLI	DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B)	parE nfxD b3030 JW2998	Escherichia coli (strain K12)	630
P20966	PTFBC_ECOLI	PTS system fructose-specific EIIB'BC component (EIIB'BC-Fru) [Includes: PTS system fructose-specific EIIB component (EC 2.7.1.202) (EIII-Fru) (Fructose-specific phosphotransferase enzyme IIB component); PTS system fructose-specific EIIC component (Fructose permease IIC component)]	fruA ptsF b2167 JW2154	Escherichia coli (strain K12)	563
P21151	FADA_ECOLI	3-ketoacyl-CoA thiolase FadA (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadA oldA b3845 JW5578	Escherichia coli (strain K12)	387
P21156	CYSD_ECOLI	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT)	cysD b2752 JW2722	Escherichia coli (strain K12)	302
